variable_id,variable_name,dataset_id
acc_cla_tot_entitlements_paid_amt,Total entitlement payments paid to date,acc_clean.claims
acc_cla_last_entitlement_payment_date,Last Entitlement payment date,acc_clean.claims
acc_cla_gradual_process_claim_ind,Gradual process claim indicator,acc_clean.claims
acc_cla_wilful_self_inflict_status_text,Wilful self inflicted claim status,acc_clean.claims
acc_cla_wilful_self_inflict_ind_date_text,Wilful self inflicted claim status date,acc_clean.claims
acc_cla_lodgement_provider_hospital,Public or Private hospital of the ACC45 lodgment provider (if applicable),acc_clean.claims
acc_cla_life_time_est_year,Base year of life time estimate,acc_clean.claims
acc_cla_life_time_future_est,Estimated future cost over lifetime,acc_clean.claims
acc_cla_life_time_estimate,Estimated total cost over lifetime,acc_clean.claims
acc_pay_first_service_date_text,Earliest recorded treatment/service date,acc_clean.payments
acc_pay_last_service_date_text,Most recent treatment/service date.,acc_clean.payments
cen_ind_dwell_age_code,Age - single years,cen_clean.census_individual_2018
cen_ind_dwell_sex_code,Sex,cen_clean.census_individual_2018
cen_ind_ethgr_synm,Ethnic group synonym,cen_clean.census_individual_2018
cen_ind_birth_country_synm,Birth country synonym,cen_clean.census_individual_2018
cen_ind_language_synm,Language synonym,cen_clean.census_individual_2018
cen_ind_religion_synm,Religion synonym,cen_clean.census_individual_2018
cen_ind_occupation_synm,Occupation synonym,cen_clean.census_individual_2018
cen_ind_industry_synm,Industry synonym,cen_clean.census_individual_2018
cen_ind_post_scl_subjt_synm,Post school qualification subject synonym,cen_clean.census_individual_2018
cen_ind_scdry_scl_qual_synm,Highest secondary school qualification Synonym,cen_clean.census_individual_2018
cen_ind_post_scl_level_synm,Post school qualification level synonym,cen_clean.census_individual_2018
cen_ind_living_arrangmnts_synm,Living arrangements synonym,cen_clean.census_individual_2018
cen_dwl_heat_fuel_synm,Fuel and heating synonym,cen_clean.census_dwelling_2018
cen_dwl_rent_period_synm,Rent period synonym,cen_clean.census_dwelling_2018
cen_dwl_dwell_description_synm,Dwelling description synonym,cen_clean.census_dwelling_2018
cus_ltm_date_final_res_before,cus_ltm_date_final_res_before,cus_clean.journey
cus_ltm_date_final_res_after,cus_ltm_date_final_res_after,cus_clean.journey
super_end_year_nbr int,NA,clean_read_hes.hes_networth_wealth
snz_hlfs_uid,snz_hlfs_uid,clean_read_hlfs.hlfs_wellbeing_datestamp
snz_hlfs_hhld_uid,snz_hlfs_hhld_uid,clean_read_hlfs.hlfs_wellbeing_datestamp
person_code,person_code,clean_read_hlfs.hlfs_wellbeing_datestamp
